category,command,type,description,permissions,entrypoint,implementation,options_or_args,status,notes
Admin/Hệ thống,?serverbot,prefix,Danh sách server bot đang ở (owner only),Owner/whitelist,src/events/client/messageCreate.js:770,src/commands/admin/serverbot.js,?serverbot - Danh sách server bot đang ở (owner only),active,
Quản lý thành viên/role,?tongrole,prefix,Xem tổng số role trong server (Owner only),Owner/whitelist,src/events/client/messageCreate.js:784,src/commands/quanly/tongrole.js,MEMBER MANAGEMENT COMMANDS | ?tongrole - Xem tổng số role trong server (Owner only),active,
Quản lý thành viên/role,?addhelp,prefix,Show help,Role Quản Lý,src/events/client/messageCreate.js:790,src/commands/quanly/addhelp.js,?addhelp - Show help,active,
Quản lý thành viên/role,?lenhquanly,prefix,Danh sách lệnh quản lý,Role Quản Lý,src/events/client/messageCreate.js:795,src/commands/quanly/lenhquanly.js,"?lenhquanly, ?qlcmd, ?admincmd - Danh sách lệnh quản lý",active,
Quản lý thành viên/role,?qlcmd,alias,Danh sách lệnh quản lý,Role Quản Lý,src/events/client/messageCreate.js:795,src/commands/quanly/lenhquanly.js,"?lenhquanly, ?qlcmd, ?admincmd - Danh sách lệnh quản lý",active,
Quản lý thành viên/role,?admincmd,alias,Danh sách lệnh quản lý,Role Quản Lý,src/events/client/messageCreate.js:795,src/commands/quanly/lenhquanly.js,"?lenhquanly, ?qlcmd, ?admincmd - Danh sách lệnh quản lý",active,
Quản lý thành viên/role,?hiddencommands,alias,Danh sách lệnh quản lý,Role Quản Lý,src/events/client/messageCreate.js:795,src/commands/quanly/lenhquanly.js,"?lenhquanly, ?qlcmd, ?admincmd - Danh sách lệnh quản lý",active,
Quản lý thành viên/role,?addmem,prefix,?addmem @user <position> <uid> <name> [Xnt],Role Quản Lý,src/events/client/messageCreate.js:801,src/commands/quanly/addmem.js,?addmem @user <position> <uid> <name> [Xnt],active,
Quản lý thành viên/role,?addid,prefix,?addid <uid> <name> - Pre-add game data,Role Quản Lý,src/events/client/messageCreate.js:806,src/commands/quanly/addid.js,?addid <uid> <name> - Pre-add game data,active,
Gieo quẻ/Cầu duyên,?setgieoque,prefix,?setgieoque (Admin only),Owner/whitelist,src/events/client/messageCreate.js:811,src/commands/gieoque/setgieoque.js,?setgieoque (Admin only),active,
Admin/Hệ thống,?checkapi,prefix,Check Gemini API Status (Admin only),Owner/whitelist,src/events/client/messageCreate.js:816,src/commands/admin/checkapi.js,?checkapi - Check Gemini API Status (Admin only),active,
Admin/Hệ thống,?setkc,prefix,?setkc <new_name>,Owner/whitelist,src/events/client/messageCreate.js:898,src/commands/admin/setkc.js,?setkc <new_name>,active,
Role hiển thị,?setrole,prefix,Set sub-role,Owner/whitelist,src/events/client/messageCreate.js:906,src/commands/quanly/subrole/setrole.js,SUB-ROLE SYSTEM | ?setrole - Set sub-role,active,
Role hiển thị,?unsetrole,prefix,Remove sub-role,Role Kỳ Cựu,src/events/client/messageCreate.js:912,src/commands/quanly/subrole/unsetrole.js,"?unsetrole, ?xoarole - Remove sub-role",active,
Role hiển thị,?xoarole,alias,Remove sub-role,Role Kỳ Cựu,src/events/client/messageCreate.js:912,src/commands/quanly/subrole/unsetrole.js,"?unsetrole, ?xoarole - Remove sub-role",active,
Role hiển thị,?addrole,prefix,Add sub-role (Bang Chủ),Owner/whitelist,src/events/client/messageCreate.js:918,src/commands/quanly/subrole/addrole.js,?addrole - Add sub-role (Bang Chủ),active,
Role hiển thị,?editrole,prefix,Edit sub-role (Bang Chủ),Owner/whitelist,src/events/client/messageCreate.js:924,src/commands/quanly/subrole/editrole.js,"?editrole, ?doirole - Edit sub-role (Bang Chủ)",active,
Role hiển thị,?doirole,alias,Edit sub-role (Bang Chủ),Owner/whitelist,src/events/client/messageCreate.js:924,src/commands/quanly/subrole/editrole.js,"?editrole, ?doirole - Edit sub-role (Bang Chủ)",active,
Role hiển thị,?delrole,prefix,Delete sub-role (Bang Chủ),Owner/whitelist,src/events/client/messageCreate.js:930,src/commands/quanly/subrole/delrole.js,?delrole - Delete sub-role (Bang Chủ),active,
Role hiển thị,?delallrole,prefix,Delete ALL sub-roles (Owner only),Owner/whitelist,src/events/client/messageCreate.js:936,src/commands/quanly/subrole/delallrole.js,?delallrole - Delete ALL sub-roles (Owner only),active,
Role hiển thị,?dsrole,prefix,List sub-roles,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:942,src/commands/quanly/subrole/listrole.js,"?dsrole, ?listrole - List sub-roles",active,
Role hiển thị,?listrole,alias,List sub-roles,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:942,src/commands/quanly/subrole/listrole.js,"?dsrole, ?listrole - List sub-roles",active,
Role hiển thị,?helprole,prefix,Help for role system,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:948,src/commands/quanly/subrole/helprole.js,?helprole - Help for role system,active,
Role hiển thị,?role,prefix,Đổi display role,Owner/whitelist,src/events/client/messageCreate.js:954,src/commands/quanly/subrole/show.js,"?role, ?show - Đổi display role",active,
Role hiển thị,?show,alias,Đổi display role,Owner/whitelist,src/events/client/messageCreate.js:954,src/commands/quanly/subrole/show.js,"?role, ?show - Đổi display role",active,
Role hiển thị,?hideicon,prefix,Ẩn display icon,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:960,src/commands/quanly/subrole/hideicon.js,"?hideicon, ?anicon - Ẩn display icon",active,
Role hiển thị,?anicon,alias,Ẩn display icon,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:960,src/commands/quanly/subrole/hideicon.js,"?hideicon, ?anicon - Ẩn display icon",active,
Role hiển thị,?setroomcaprole,prefix,Thiết lập kênh cấp role thông minh,Owner/whitelist,src/events/client/messageCreate.js:966,src/commands/quanly/subrole/setroomcaprole.js,?setroomcaprole - Thiết lập kênh cấp role thông minh,active,
Quản lý thành viên/role,?mem,prefix,Xem thông tin thành viên (quản lý),Role Quản Lý,src/events/client/messageCreate.js:972,src/commands/quanly/mem.js,"?mem, ?me - Xem thông tin thành viên (quản lý)",active,
Quản lý thành viên/role,?me,alias,Xem thông tin thành viên (quản lý),Role Quản Lý,src/events/client/messageCreate.js:972,src/commands/quanly/mem.js,"?mem, ?me - Xem thông tin thành viên (quản lý)",active,
EXP/Level,?rank,prefix,Xem EXP/level cá nhân,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:983,src/commands/exp/rank.js,"EXP COMMANDS | ?rank, ?level, ?xp, ?exp - Xem EXP/level cá nhân",active,
EXP/Level,?level,alias,Xem EXP/level cá nhân,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:983,src/commands/exp/rank.js,"EXP COMMANDS | ?rank, ?level, ?xp, ?exp - Xem EXP/level cá nhân",active,
EXP/Level,?xp,alias,Xem EXP/level cá nhân,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:983,src/commands/exp/rank.js,"EXP COMMANDS | ?rank, ?level, ?xp, ?exp - Xem EXP/level cá nhân",active,
EXP/Level,?exp,alias,Xem EXP/level cá nhân,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:983,src/commands/exp/rank.js,"EXP COMMANDS | ?rank, ?level, ?xp, ?exp - Xem EXP/level cá nhân",active,
EXP/Level,?top,prefix,Bảng xếp hạng,Role LangGia/điều kiện guild,src/events/client/messageCreate.js:989,src/commands/exp/top.js,"?top, ?leaderboard, ?lb, ?bxh - Bảng xếp hạng",active,
EXP/Level,?leaderboard,alias,Bảng xếp hạng,Role LangGia/điều kiện guild,src/events/client/messageCreate.js:989,src/commands/exp/top.js,"?top, ?leaderboard, ?lb, ?bxh - Bảng xếp hạng",active,
EXP/Level,?lb,alias,Bảng xếp hạng,Role LangGia/điều kiện guild,src/events/client/messageCreate.js:989,src/commands/exp/top.js,"?top, ?leaderboard, ?lb, ?bxh - Bảng xếp hạng",active,
EXP/Level,?bxh,alias,Bảng xếp hạng,Role LangGia/điều kiện guild,src/events/client/messageCreate.js:989,src/commands/exp/top.js,"?top, ?leaderboard, ?lb, ?bxh - Bảng xếp hạng",active,
Quản lý thành viên/role,?randomavt,prefix,Random avatar từ album,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:995,src/commands/apps/randomavt.js,"?randomavt, ?rda - Random avatar từ album",active,
Quản lý thành viên/role,?rda,alias,Random avatar từ album,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:995,src/commands/apps/randomavt.js,"?randomavt, ?rda - Random avatar từ album",active,
Ứng dụng tiện ích,?dich,prefix,Dịch tin nhắn phía trên sang tiếng Việt,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1001,src/commands/apps/dich.js,"?dich, ?translate, ?dichtiengviet - Dịch tin nhắn phía trên sang tiếng Việt",active,
Ứng dụng tiện ích,?translate,alias,Dịch tin nhắn phía trên sang tiếng Việt,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1001,src/commands/apps/dich.js,"?dich, ?translate, ?dichtiengviet - Dịch tin nhắn phía trên sang tiếng Việt",active,
Ứng dụng tiện ích,?dichtiengviet,alias,Dịch tin nhắn phía trên sang tiếng Việt,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1001,src/commands/apps/dich.js,"?dich, ?translate, ?dichtiengviet - Dịch tin nhắn phía trên sang tiếng Việt",active,
Quản lý thành viên/role,?setavt,prefix,Set custom avatar,Role Quản Lý,src/events/client/messageCreate.js:1007,src/commands/quanly/setavt.js,"?setavt, ?setavatar, ?avatar, ?avt - Set custom avatar",active,
Quản lý thành viên/role,?setavatar,alias,Set custom avatar,Role Quản Lý,src/events/client/messageCreate.js:1007,src/commands/quanly/setavt.js,"?setavt, ?setavatar, ?avatar, ?avt - Set custom avatar",active,
Quản lý thành viên/role,?avatar,alias,Set custom avatar,Role Quản Lý,src/events/client/messageCreate.js:1007,src/commands/quanly/setavt.js,"?setavt, ?setavatar, ?avatar, ?avt - Set custom avatar",active,
Quản lý thành viên/role,?avt,alias,Set custom avatar,Role Quản Lý,src/events/client/messageCreate.js:1007,src/commands/quanly/setavt.js,"?setavt, ?setavatar, ?avatar, ?avt - Set custom avatar",active,
Quản lý thành viên/role,?delavt,prefix,Xóa custom avatar,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1017,src/commands/quanly/delavt.js,"?delavt, ?delavatar, ?removeavt, ?clearavt - Xóa custom avatar",active,
Quản lý thành viên/role,?delavatar,alias,Xóa custom avatar,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1017,src/commands/quanly/delavt.js,"?delavt, ?delavatar, ?removeavt, ?clearavt - Xóa custom avatar",active,
Quản lý thành viên/role,?removeavt,alias,Xóa custom avatar,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1017,src/commands/quanly/delavt.js,"?delavt, ?delavatar, ?removeavt, ?clearavt - Xóa custom avatar",active,
Quản lý thành viên/role,?removeavatar,alias,Xóa custom avatar,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1017,src/commands/quanly/delavt.js,"?delavt, ?delavatar, ?removeavt, ?clearavt - Xóa custom avatar",active,
Quản lý thành viên/role,?clearavt,alias,Xóa custom avatar,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1017,src/commands/quanly/delavt.js,"?delavt, ?delavatar, ?removeavt, ?clearavt - Xóa custom avatar",active,
Quản lý thành viên/role,?clearallavt,prefix,Xóa TẤT CẢ custom avatar (Owner only),Owner/whitelist,src/events/client/messageCreate.js:1023,src/commands/quanly/clearallavt.js,"?clearallavt, ?xoahetatv, ?delavtall - Xóa TẤT CẢ custom avatar (Owner only)",active,
Quản lý thành viên/role,?xoahetatv,alias,Xóa TẤT CẢ custom avatar (Owner only),Owner/whitelist,src/events/client/messageCreate.js:1023,src/commands/quanly/clearallavt.js,"?clearallavt, ?xoahetatv, ?delavtall - Xóa TẤT CẢ custom avatar (Owner only)",active,
Quản lý thành viên/role,?delavtall,alias,Xóa TẤT CẢ custom avatar (Owner only),Owner/whitelist,src/events/client/messageCreate.js:1023,src/commands/quanly/clearallavt.js,"?clearallavt, ?xoahetatv, ?delavtall - Xóa TẤT CẢ custom avatar (Owner only)",active,
Quản lý thành viên/role,?banavt,prefix,?banavt @user - Ban user không được set avatar (Kỳ Cựu trở lên),Owner/whitelist,src/events/client/messageCreate.js:1029,src/events/client/messageCreate.js,?banavt @user - Ban user không được set avatar (Kỳ Cựu trở lên),active,
Quản lý thành viên/role,?unbanavt,prefix,?unbanavt @user - Gỡ ban avatar cho user,Owner/whitelist,src/events/client/messageCreate.js:1049,src/events/client/messageCreate.js,?unbanavt @user - Gỡ ban avatar cho user,active,
Quản lý thành viên/role,?xoabc,prefix,Delete Bang Chủ,Role Quản Lý,src/events/client/messageCreate.js:1069,src/commands/quanly/xoabc.js,?xoabc - Delete Bang Chủ,active,
Quản lý thành viên/role,?xoapbc,prefix,Delete Phó Bang Chủ,Role Quản Lý,src/events/client/messageCreate.js:1074,src/commands/quanly/xoapbc.js,?xoapbc - Delete Phó Bang Chủ,active,
Quản lý thành viên/role,?listmem,prefix,List active members,Role Kỳ Cựu,src/events/client/messageCreate.js:1079,src/commands/quanly/listmem.js,"?listmem, ?dsmem, ?dstv - List active members",active,
Quản lý thành viên/role,?dsmem,alias,List active members,Role Kỳ Cựu,src/events/client/messageCreate.js:1079,src/commands/quanly/listmem.js,"?listmem, ?dsmem, ?dstv - List active members",active,
Quản lý thành viên/role,?dstv,alias,List active members,Role Kỳ Cựu,src/events/client/messageCreate.js:1079,src/commands/quanly/listmem.js,"?listmem, ?dsmem, ?dstv - List active members",active,
Quản lý thành viên/role,?checkmem,prefix,Kiểm tra thành viên đã rời server,Role LangGia/điều kiện guild,src/events/client/messageCreate.js:1084,src/commands/quanly/checkmem.js,"?checkmem, ?kiemtramem - Kiểm tra thành viên đã rời server",active,
Quản lý thành viên/role,?kiemtramem,alias,Kiểm tra thành viên đã rời server,Role LangGia/điều kiện guild,src/events/client/messageCreate.js:1084,src/commands/quanly/checkmem.js,"?checkmem, ?kiemtramem - Kiểm tra thành viên đã rời server",active,
Quản lý thành viên/role,?checkroi,alias,Kiểm tra thành viên đã rời server,Role LangGia/điều kiện guild,src/events/client/messageCreate.js:1084,src/commands/quanly/checkmem.js,"?checkmem, ?kiemtramem - Kiểm tra thành viên đã rời server",active,
Quản lý thành viên/role,?listid,prefix,List pending IDs from ?addid,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1090,src/commands/quanly/listid.js,"?listid, ?listcho - List pending IDs from ?addid",active,
Quản lý thành viên/role,?listcho,alias,List pending IDs from ?addid,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1090,src/commands/quanly/listid.js,"?listid, ?listcho - List pending IDs from ?addid",active,
Quản lý thành viên/role,?listallmem,prefix,List ALL members including left,Role Kỳ Cựu,src/events/client/messageCreate.js:1095,src/commands/quanly/listallmem.js,?listallmem - List ALL members including left,active,
Quản lý thành viên/role,?roiguild,prefix,?roiguild @user - Mark member as left,Role Quản Lý,src/events/client/messageCreate.js:1100,src/commands/quanly/roiguild.js,?roiguild @user - Mark member as left,active,
Quản lý thành viên/role,?rsrejoin,prefix,Reset rejoin count (Quản Lý only),Role Quản Lý,src/events/client/messageCreate.js:1105,src/commands/quanly/rsrejoin.js,"?rsrejoin, ?rsrj - Reset rejoin count (Quản Lý only)",active,
Quản lý thành viên/role,?rsrj,alias,Reset rejoin count (Quản Lý only),Role Quản Lý,src/events/client/messageCreate.js:1105,src/commands/quanly/rsrejoin.js,"?rsrejoin, ?rsrj - Reset rejoin count (Quản Lý only)",active,
Quản lý thành viên/role,?xoamem,prefix,Xóa thành viên khỏi database (BC/PBC/KC),Role Quản Lý,src/events/client/messageCreate.js:1110,src/commands/quanly/xoamem.js,?xoamem - Xóa thành viên khỏi database (BC/PBC/KC),active,
Quản lý thành viên/role,?xoamemngoaiserver,prefix,Dọn thành viên trong database không còn ở server Discord.,Owner/whitelist,src/events/client/messageCreate.js:1114,src/commands/quanly/xoamemngoaiserver.js,,active,
Quản lý thành viên/role,?donmemngoaiserver,alias,Dọn thành viên trong database không còn ở server Discord.,Owner/whitelist,src/events/client/messageCreate.js:1114,src/commands/quanly/xoamemngoaiserver.js,,active,
Quản lý thành viên/role,?cleanmemserver,alias,Dọn thành viên trong database không còn ở server Discord.,Owner/whitelist,src/events/client/messageCreate.js:1114,src/commands/quanly/xoamemngoaiserver.js,,active,
Quản lý thành viên/role,?locmem,prefix,Lọc thành viên có role LangGia nhưng không trong database,Role Quản Lý,src/events/client/messageCreate.js:1119,src/commands/quanly/locmem.js,?locmem - Lọc thành viên có role LangGia nhưng không trong database,active,
Minigame/Economy,?themtien,prefix,Add Hạt to user (Quản Lý only),Owner/whitelist,src/events/client/messageCreate.js:1124,src/commands/admin/minigame/themtien.js,?themtien - Add Hạt to user (Quản Lý only),active,
Gieo quẻ/Cầu duyên,?gieoque,prefix,Gieo quẻ mỗi ngày,Role LangGia/điều kiện guild,src/events/client/messageCreate.js:1129,src/commands/gieoque/gieoque.js,"?gieoque, ?xinque, ?xq - Gieo quẻ mỗi ngày",active,
Gieo quẻ/Cầu duyên,?xinque,alias,Gieo quẻ mỗi ngày,Role LangGia/điều kiện guild,src/events/client/messageCreate.js:1129,src/commands/gieoque/gieoque.js,"?gieoque, ?xinque, ?xq - Gieo quẻ mỗi ngày",active,
Gieo quẻ/Cầu duyên,?xq,alias,Gieo quẻ mỗi ngày,Role LangGia/điều kiện guild,src/events/client/messageCreate.js:1129,src/commands/gieoque/gieoque.js,"?gieoque, ?xinque, ?xq - Gieo quẻ mỗi ngày",active,
Gieo quẻ/Cầu duyên,?buxu,alias,Gieo quẻ mỗi ngày,Role LangGia/điều kiện guild,src/events/client/messageCreate.js:1129,src/commands/gieoque/gieoque.js,"?gieoque, ?xinque, ?xq - Gieo quẻ mỗi ngày",active,
Gieo quẻ/Cầu duyên,?cauduyen,prefix,Cầu duyên (tình yêu),Role LangGia/điều kiện guild,src/events/client/messageCreate.js:1139,src/commands/gieoque/cauduyen.js,"?cauduyen, ?cd - Cầu duyên (tình yêu)",active,
Gieo quẻ/Cầu duyên,?cd,alias,Cầu duyên (tình yêu),Role LangGia/điều kiện guild,src/events/client/messageCreate.js:1139,src/commands/gieoque/cauduyen.js,"?cauduyen, ?cd - Cầu duyên (tình yêu)",active,
Minigame/Economy,?xoahet,prefix,"Delete all equipment, items and currency (Quản Lý only)",Owner/whitelist,src/events/client/messageCreate.js:1149,src/events/client/messageCreate.js,"?xoahet - Delete all equipment, items and currency (Quản Lý only)",unclear,Không resolve được biến handler `xoahetCommand` từ import top-level; cần kiểm tra thủ công.
Minigame/Economy,?add,prefix,Add items to user (owner only),Owner/whitelist,src/events/client/messageCreate.js:1154,src/commands/admin/minigame/additem.js,?add - Add items to user (owner only),active,
Minigame/Economy,?resetplayer,prefix,Reset all minigame data (owner only),Owner/whitelist,src/events/client/messageCreate.js:1160,src/commands/admin/minigame/resetplayer.js,?resetplayer - Reset all minigame data (owner only),active,
Minigame/Economy,?reset,prefix,Reset your own minigame data (owner only),Owner/whitelist,src/events/client/messageCreate.js:1166,src/commands/admin/minigame/resetplayer.js,?reset - Reset your own minigame data (owner only),active,
Minigame/Economy,?resetplayer,prefix,?resetplayer @user - Reset a player's minigame data (owner only),Owner/whitelist,src/events/client/messageCreate.js:1171,src/commands/admin/minigame/resetplayer.js,?resetplayer @user - Reset a player's minigame data (owner only),unclear,Trùng alias; nhánh tại src/events/client/messageCreate.js:1160 sẽ bắt trước nhánh này.
Minigame/Economy,?resetallplayer,prefix,Reset ALL players' minigame data (owner only),Owner/whitelist,src/events/client/messageCreate.js:1176,src/commands/admin/minigame/resetallplayer.js,?resetallplayer - Reset ALL players' minigame data (owner only),active,
Minigame/Economy,?cleardung,prefix,Clear dungeon sessions (owner only),Owner/whitelist,src/events/client/messageCreate.js:1182,src/commands/admin/minigame/cleardung.js,?cleardung - Clear dungeon sessions (owner only),active,
Minigame/Economy,?dungclear,alias,Clear dungeon sessions (owner only),Owner/whitelist,src/events/client/messageCreate.js:1182,src/commands/admin/minigame/cleardung.js,?cleardung - Clear dungeon sessions (owner only),active,
Minigame/Economy,?resetdung,alias,Clear dungeon sessions (owner only),Owner/whitelist,src/events/client/messageCreate.js:1182,src/commands/admin/minigame/cleardung.js,?cleardung - Clear dungeon sessions (owner only),active,
Thông báo/Boss/Lịch,?xoatoanbodanhsachthanhvien,prefix,Delete all members (owner only),Owner/whitelist,src/events/client/messageCreate.js:1187,src/commands/admin/thongbao/xoatoanbodanhsachthanhvien.js,?xoatoanbodanhsachthanhvien - Delete all members (owner only),active,
Admin/Hệ thống,?gonah,prefix,Special message,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1192,src/commands/admin/gonah.js,?gonah - Special message,active,
Admin/Hệ thống,?nominigame,prefix,Block/unblock minigame in channel,Owner/whitelist,src/events/client/messageCreate.js:1198,src/commands/admin/nominigame.js,?nominigame - Block/unblock minigame in channel,active,
Booster voice room,?setbooster,prefix,[DISABLED] Các lệnh cũ đã thay bằng ?setbooster panel | ?boostroom / ?br / ?myroom | ?delboostroom / ?dbr | ?setboostcategory | ?setbooster <Category ID> - Thiết lập Booster Panel + category,Owner/whitelist,src/events/client/messageCreate.js:1209,src/commands/booster/setbooster.js,[DISABLED] Các lệnh cũ đã thay bằng ?setbooster panel | ?boostroom / ?br / ?myroom | ?delboostroom / ?dbr | ?setboostcategory | ?setbooster <Category ID> - Thiết lập Booster Panel + category,active,
Booster voice room,?addvip,prefix,Thêm người dùng vào danh sách VIP Booster Room,Owner/whitelist,src/events/client/messageCreate.js:1215,src/commands/booster/addvip.js,?addvip - Thêm người dùng vào danh sách VIP Booster Room,active,
Booster voice room,?rmvip,prefix,Gỡ người dùng khỏi danh sách VIP Booster Room,Owner/whitelist,src/events/client/messageCreate.js:1221,src/commands/booster/rmvip.js,?rmvip - Gỡ người dùng khỏi danh sách VIP Booster Room,active,
Admin/Hệ thống,?setchannelanh,prefix,Set channel làm Phòng Ảnh (Quản Lý only),Admin/quyền Discord,src/events/client/messageCreate.js:1227,src/commands/admin/setchannelanh.js,?setchannelanh - Set channel làm Phòng Ảnh (Quản Lý only),active,
Admin/Hệ thống,?setchannelphonganh,alias,Set channel làm Phòng Ảnh (Quản Lý only),Admin/quyền Discord,src/events/client/messageCreate.js:1227,src/commands/admin/setchannelanh.js,?setchannelanh - Set channel làm Phòng Ảnh (Quản Lý only),active,
Admin/Hệ thống,?phonganh,alias,Set channel làm Phòng Ảnh (Quản Lý only),Admin/quyền Discord,src/events/client/messageCreate.js:1227,src/commands/admin/setchannelanh.js,?setchannelanh - Set channel làm Phòng Ảnh (Quản Lý only),active,
Admin/Hệ thống,?setlevelup,prefix,Set kênh nhận thông báo Level Up (Quản Lý only),Admin/quyền Discord,src/events/client/messageCreate.js:1233,src/commands/admin/setlevelup.js,?setlevelup - Set kênh nhận thông báo Level Up (Quản Lý only),active,
Admin/Hệ thống,?setlvup,alias,Set kênh nhận thông báo Level Up (Quản Lý only),Admin/quyền Discord,src/events/client/messageCreate.js:1233,src/commands/admin/setlevelup.js,?setlevelup - Set kênh nhận thông báo Level Up (Quản Lý only),active,
Admin/Hệ thống,?setlvl,alias,Set kênh nhận thông báo Level Up (Quản Lý only),Admin/quyền Discord,src/events/client/messageCreate.js:1233,src/commands/admin/setlevelup.js,?setlevelup - Set kênh nhận thông báo Level Up (Quản Lý only),active,
Ứng dụng tiện ích,?album,prefix,Xem album ảnh của bạn,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1239,src/commands/apps/album.js,?album - Xem album ảnh của bạn,active,
Ứng dụng tiện ích,?xemanh,alias,Xem album ảnh của bạn,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1239,src/commands/apps/album.js,?album - Xem album ảnh của bạn,active,
Ứng dụng tiện ích,?myalbum,alias,Xem album ảnh của bạn,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1239,src/commands/apps/album.js,?album - Xem album ảnh của bạn,active,
Ứng dụng tiện ích,?anh,alias,Xem album ảnh của bạn,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1239,src/commands/apps/album.js,?album - Xem album ảnh của bạn,active,
